Kode Provinsi,Nama Provinsi,Kode Kabupaten Kota,Nama Kabupaten Kota,Jumlah Produksi Sampah,Satuan (Ton),Tahun
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,237.96,TON PER HARI,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,613.18,TON PER HARI,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,487.26,TON PER HARI,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,308.96,TON PER HARI,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,869.86,TON PER HARI,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,1228.6,TON PER HARI,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2017
32,JAWA BARAT,3271,KOTA BOGOR,991.93,TON PER HARI,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,309.91,TON PER HARI,2017
32,JAWA BARAT,3273,KOTA BANDUNG,2448.63,TON PER HARI,2017
32,JAWA BARAT,3274,KOTA CIREBON,304.15,TON PER HARI,2017
32,JAWA BARAT,3275,KOTA BEKASI,2387.08,TON PER HARI,2017
32,JAWA BARAT,3276,KOTA DEPOK,1844.3,TON PER HARI,2017
32,JAWA BARAT,3277,KOTA CIMAHI,563.21,TON PER HARI,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,472.36,TON PER HARI,2017
32,JAWA BARAT,3279,KOTA BANJAR,130.21,TON PER HARI,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,1716.8,TON PER HARI,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,415.5,TON PER HARI,2018
32,JAWA BARAT,3203,KABUPATEN CIANJUR,965.19,TON PER HARI,2018
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2068.06,TON PER HARI,2018
32,JAWA BARAT,3205,KABUPATEN GARUT,473.89,TON PER HARI,2018
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,458.45,TON PER HARI,2018
32,JAWA BARAT,3207,KABUPATEN CIAMIS,263.01,TON PER HARI,2018
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,248.52,TON PER HARI,2018
32,JAWA BARAT,3209,KABUPATEN CIREBON,466.25,TON PER HARI,2018
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,249.26,TON PER HARI,2018
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,236.12,TON PER HARI,2018
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,603.11,TON PER HARI,2018
32,JAWA BARAT,3213,KABUPATEN SUBANG,498.7,TON PER HARI,2018
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,323.87,TON PER HARI,2018
32,JAWA BARAT,3215,KABUPATEN KARAWANG,896.85,TON PER HARI,2018
32,JAWA BARAT,3216,KABUPATEN BEKASI,1600.71,TON PER HARI,2018
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,663.54,TON PER HARI,2018
